-0.330378	-0.514561	-0.174661	-0.185054	0.150198	-0.294256	0.117589	0.339546	0.225023	0.088060	-0.857444	0.768711	-0.200035	-0.562916	0.286473	-0.153505	0.202475	0.161589	-0.195287	-0.341288	-0.453945	0.097302	0.026684	0.295539	-0.039041	0.208254	-0.438806	-0.125961	0.101598	0.310471	0.081744	-0.163372	-0.028446	0.419607	-0.610526	0.266014	0.308927	0.063448	0.284629	0.062456	0.015207	-0.365459	0.420336	-0.300323	0.057504	0.069635	0.537486	0.310215	-0.200366	-0.471580
0.274844	-0.173864	0.349882	0.477899	-0.248447	-0.548871	0.489581	0.231098	-0.060559	-0.046309	-0.938480	0.133074	-0.042271	-0.277976	-0.181003	0.169689	-0.261657	-0.242435	-0.194476	-0.235086	-0.395335	-0.067345	-0.044934	-0.239176	-0.131004	0.144997	-0.216988	-0.141017	-0.005365	-0.387206	0.363067	-0.178115	0.149650	-0.225813	-0.212711	-0.154551	0.315727	-0.541773	-0.039016	0.319616	0.107191	-0.113432	0.180993	-0.622213	-0.080891	0.165772	0.016332	0.261156	-0.351073	-0.067208
0.252681	-0.610408	-0.006167	0.115428	-0.069964	-0.115403	0.010313	-0.404802	-0.076341	-0.538222	-0.256239	0.296463	-0.262535	0.097352	0.140004	0.341959	0.270611	-0.091770	0.522282	0.157043	-0.188312	0.384110	0.045583	0.073172	-0.049505	-0.248689	0.018123	-0.162004	-0.319520	0.269959	0.572299	-0.032030	-0.190846	-0.246482	-0.204665	-0.453664	0.562062	0.111820	-0.153017	-0.459651	-0.066867	0.167498	0.557171	-0.152114	0.299831	-0.055397	-0.291302	0.325516	-0.408780	-0.263169
-0.256428	0.071771	-0.078041	0.210490	0.081060	-0.594822	0.225168	-0.009676	-0.122594	-0.041840	-0.233461	0.412692	-0.283477	0.239869	-0.172590	0.342630	-0.706848	0.410506	-0.213550	0.204273	0.157642	0.101629	0.416448	-0.121376	-0.625864	0.201249	0.111429	0.437769	-0.987543	-0.027133	-0.237813	0.179186	-0.339291	-0.196292	-0.149057	0.061755	0.837644	0.132973	-0.579879	0.502125	-0.173740	-0.205832	0.165685	-0.074171	-0.046140	-0.103321	0.146474	0.203472	-0.194183	-0.351818
-0.019110	0.173318	-0.412843	0.299775	0.580614	-0.360760	-0.383655	0.138095	-0.009052	-0.358253	-0.600348	0.319455	-0.473784	-0.436609	-0.160311	-0.073942	-0.853567	0.309053	-0.158690	-0.016957	-0.141318	-0.119249	0.100784	0.375199	0.085989	0.436112	0.126345	-0.275940	0.084192	0.587118	-0.378420	-0.353302	0.092692	0.129697	-0.465711	-0.278218	0.986421	0.260212	0.078479	0.066826	-0.010613	-0.269290	0.489754	-0.539883	-0.108791	-0.132622	-0.206554	0.297231	-0.083132	0.033347
0.081890	-0.162593	0.081229	-0.252442	-0.741045	-0.325794	0.289227	-0.027837	-0.335166	-0.229628	-0.539628	0.597175	0.092420	-0.225100	0.936260	0.180000	0.270697	-0.158232	0.150318	0.741736	-0.651628	0.082509	0.721327	-0.064048	0.312669	0.006225	0.213847	-0.207911	-0.500161	-0.023577	0.354804	0.322750	-0.242077	-0.003239	-0.257757	-0.118461	0.392534	0.364612	0.198689	0.210165	0.064029	-0.176239	0.303997	-0.066381	-0.023450	-0.381027	-0.413680	0.383518	-0.340953	-0.354949
-0.050781	0.325535	-0.341541	0.031592	0.169628	-0.331348	0.416985	-0.412612	0.189441	-0.080693	-0.571350	0.420876	0.012925	-0.127827	-0.130593	-0.084097	-0.160027	0.070222	-0.138274	0.298491	-0.368817	0.702217	-0.379547	0.528517	0.087209	0.433371	-0.415968	-0.052686	-0.011224	0.225246	0.508394	-0.326153	-0.127355	-0.150343	-0.316681	-0.239922	0.244365	0.132998	-0.565943	0.122433	-0.665732	-0.117008	0.452202	-0.025671	-0.015162	-0.445808	-0.396044	0.377843	-0.261099	-0.751796
0.205715	-0.423593	-0.318099	0.050299	-0.121769	-0.609624	-0.036395	-0.016001	0.055962	-0.296653	-0.210844	0.337339	0.160384	0.777218	-0.492418	0.298034	0.144945	-0.111820	-0.132861	0.103978	-0.103100	0.162963	0.162445	-0.453693	-0.147979	0.423174	-0.009900	0.156754	-0.228098	-0.246365	-0.223650	-0.004134	-0.163302	-0.157240	-0.155329	-0.459259	0.614109	0.004096	-0.104396	0.198705	-0.555314	-0.482314	0.213353	-0.105909	-0.241101	0.546454	0.129520	0.448629	-0.388300	-0.471419
-0.429527	-0.584368	0.212863	-0.020903	0.212842	-0.077149	0.180831	0.301976	0.260823	-0.269666	-0.477989	0.533509	0.072426	0.273703	-0.216939	-0.033230	0.097053	0.136342	0.231865	0.471055	-0.409750	0.599663	0.397909	0.122280	-0.274009	-0.425110	0.247735	-0.373530	0.305785	-0.508493	0.230461	-0.397662	-0.398384	0.072999	-0.165075	0.259766	-0.249852	-0.458144	0.134723	-0.108134	-0.295528	-0.241436	0.511191	-0.650571	-0.129983	0.369945	0.438223	0.190660	-0.340317	-0.295049
0.121655	0.149524	-0.139976	-0.098682	-0.312075	-0.469925	-0.006794	-0.021187	0.068754	-0.072632	-0.658372	0.393967	0.372547	0.220316	0.218092	0.002029	-0.379453	0.112182	0.500256	0.180200	-0.443831	0.360043	-0.193862	0.253002	-0.016665	0.238381	-0.459360	-0.355504	0.217634	0.002069	-0.271579	-0.247563	-0.025126	-0.092211	0.147474	0.138548	-0.031318	0.173687	-0.425692	0.013345	0.066705	-0.053942	0.477680	-0.408946	-0.088344	-0.494900	0.191474	0.837435	-0.573800	-0.316056
-0.352666	-0.354576	-0.429081	0.470601	-0.006788	-0.221772	-0.124058	-0.130061	0.131930	-0.656398	-0.056317	0.802046	0.123888	-0.123741	0.165470	-0.216767	0.005037	0.185207	0.279838	-0.205713	-0.245925	-0.001705	0.637880	-0.054306	-0.232657	0.243462	-0.471684	0.252688	-0.304612	-0.074807	0.100618	-0.218016	-0.261992	-0.083285	0.063458	0.090378	0.104966	0.365589	-0.100113	0.212719	-0.424140	-0.651637	-0.330414	-0.761528	-0.225748	0.016505	0.000161	0.969010	0.175244	-0.090924
0.123656	-0.573671	0.040370	0.338639	-0.236168	-0.357733	0.154253	0.255555	-0.467988	0.054934	-0.213872	0.247987	-0.248996	-0.045330	0.012449	0.440126	0.046056	1.011873	0.383798	0.398537	0.040879	0.143406	0.696934	0.254297	0.157801	0.080569	0.084596	-0.076592	-0.257925	0.068144	0.097106	-0.247567	-0.073066	0.112092	-0.523759	-0.286972	0.216092	0.205323	-0.223252	0.073518	-0.141104	-0.110317	0.168061	0.152869	0.064158	-0.284965	-0.325450	0.917597	0.195007	-0.271721
0.076925	0.018131	-0.492193	0.017334	0.104725	-0.166136	0.169363	-0.113337	0.012754	-0.624908	-0.888701	0.208961	-0.305482	0.245947	-0.227143	-0.092263	0.224782	-0.005250	-0.162873	0.473021	-0.213951	0.561777	-0.103148	0.500439	-0.185452	0.020960	-0.068952	-0.048801	-0.413166	0.519787	-0.084813	-0.371405	0.102661	-0.286748	-0.426059	-0.178326	0.199377	0.181851	-0.373672	-0.133829	-0.045708	-0.367865	-0.236707	-0.115565	-0.215223	-0.353131	0.585056	0.515769	-0.084893	-0.488879
