iteration,loss
0,70.64467405256163
100,58.35169747223165
200,52.31798894797954
300,51.00595527979425
400,51.551638897266265
500,47.92364739852398
600,46.19569924415691
700,40.793215500712364
800,42.559968670449635
900,41.24746773407343
1000,39.65966295473277
1100,28.18422810174287
1200,38.577036162966
1300,28.169916963839704
1400,43.7568131821375
1500,37.910684667759476
1600,38.090040616024204
1700,39.99373360671302
1800,33.449565788398544
1900,36.45722768634945
2000,37.81410544880449
2100,31.30957017337641
2200,34.43770634394148
2300,40.212804403312035
2400,34.20563193637278
2500,33.792772373086436
2600,32.976787745873466
2700,27.496456164651924
2800,41.251630095809766
2900,35.80288437726144
3000,43.676564311157044
3100,35.223048513604425
3200,38.961870842454765
3300,44.84262691556436
3400,30.067558295966588
3500,31.494388692842936
3600,28.161414424837815
3700,27.469183103177098
3800,43.65205550524367
3900,42.53370210412945
4000,17.695598877287882
4100,49.186538248530304
4200,37.12275676215616
4300,48.32281562770489
4400,40.59969183669787
4500,34.832735365581144
4600,44.36579796540322
4700,31.603421879445303
4800,21.658348714945163
4900,43.538785300742724
5000,33.46248218880096
5100,34.78775226979368
5200,26.914671877556472
5300,41.957462360374464
5400,23.342393473210468
5500,37.53073973956253
5600,28.617044614300664
5700,30.21226599235848
5800,27.557720671378323
5900,42.7612307708202
6000,36.46326821650871
6100,37.387986086215676
6200,38.91196369919281
6300,39.33881331072967
6400,34.91114864271601
6500,36.636660841516765
6600,32.398113179383174
6700,39.06566120617794
6800,37.916833647939804
6900,34.19971124114812
7000,31.73246386876371
7100,29.859784606508725
7200,38.3078741309176
7300,37.0224969815082
7400,33.82290721332272
7500,15.083310368836324
7600,34.37780763970427
7700,34.40090079475863
7800,20.033124645079003
7900,31.65648809095119
8000,45.309824300004884
8100,32.04437613044956
8200,27.614622978345658
8300,24.533558534225804
8400,39.374369332621484
8500,34.670466485206646
8600,32.80123355734781
8700,31.06296978322951
8800,38.16638906236942
8900,17.728502348723104
9000,36.112287294325945
9100,34.69313068782604
9200,27.53563837350804
9300,25.51273152714521
9400,32.25554307156332
9500,31.05528496699968
9600,38.492967973193004
9700,19.6502870798862
9800,23.959139497931425
9900,38.12367875108473
10000,31.775205700344692
10100,35.21357079251627
10200,30.72190657357519
10300,31.924362990763115
10400,32.007775924497466
10500,26.61738113090419
10600,35.36365211898875
10700,32.70781659080025
10800,27.784609485612645
10900,23.424169269858883
11000,33.79718321299918
11100,25.340066688705125
11200,26.12834970006937
11300,32.34506277798488
11400,37.29234407514268
11500,27.206480276154796
11600,38.8831133986831
11700,38.51371490740453
11800,28.270362115801795
11900,34.26022140435246
12000,42.896318566312665
12100,18.920590559301726
12200,23.74323875149786
12300,22.93558265431103
12400,36.62116012772513
12500,38.986696369933185
12600,19.288027840740423
12700,27.363799446448347
12800,42.017261713815735
12900,27.166143922351683
13000,40.86112444165874
13100,18.14837925581316
13200,26.555187665179798
13300,36.31841285294465
13400,40.09287784465112
13500,15.455690432620608
13600,27.331896975077164
13700,40.49294035371392
13800,19.693162928918106
13900,32.306382101573476
14000,31.712245972543684
14100,28.717835776833873
14200,30.506651305759988
14300,31.463154538800133
14400,26.935594745373578
14500,36.162832310438084
14600,26.210142218803163
14700,31.92578991530205
14800,31.775788987082837
14900,34.75465971262292
15000,12.870881472595533
15100,20.37307961459281
15200,30.339055875911345
15300,31.77599454053328
15400,33.54117554335045
15500,29.092144806296794
15600,36.20150329616229
15700,18.629107470717166
15800,27.50957501888942
15900,32.76158259473389
16000,40.72922444513987
16100,30.59498547804471
16200,38.13764987045552
16300,31.017583840790298
16400,30.353439650681963
16500,41.68078532615334
16600,24.974544450164586
16700,34.53538723509757
16800,32.061079868186496
16900,25.48134225909786
17000,32.7518368160052
17100,29.685387352180882
17200,19.47647597953689
17300,17.56604333998694
17400,36.68622142807109
17500,36.64222396080663
17600,25.819532554072463
17700,32.8688293917679
17800,29.555978755651257
17900,35.09982238553191
18000,32.01859734566315
18100,37.69846999159353
18200,34.0979835828979
18300,17.222556426820848
18400,40.21906438770149
18500,38.04006638990323
18600,27.00127915515485
18700,26.03002697044782
18800,30.001247831125237
18900,26.552644868300607
19000,24.243229243938618
19100,29.046619806971695
19200,18.593249357730937
19300,34.39075331156903
19400,31.05799661789191
19500,26.47476683346379
19600,41.995578733828594
19700,27.161240715862917
19800,22.73529388777962
19900,35.38210245297876
20000,43.02334649726535
20100,32.72428536290718
20200,16.945466714643786
20300,34.716246112175156
20400,21.641463270762028
20500,48.60027445086791
20600,21.666253546420275
20700,38.585239461083354
20800,32.30766976641806
20900,36.70646832034571
21000,35.42705950067537
21100,25.76172819406934
21200,41.97562372996598
21300,33.460260825322585
21400,36.00601142128302
