iteration,loss
0,117.0128640261492
10,84.78937707249725
20,85.81018869564915
30,88.96515211796773
40,99.79087053705406
50,75.23310849540886
60,69.0476021216542
70,71.73509511271503
80,67.37031228942072
90,68.20802809997309
100,91.44056034215332
110,77.12036116931539
120,80.26548468380143
130,83.99336842126874
140,76.56738051914778
150,77.73759857502506
160,83.8216989039815
170,62.90690409432687
180,76.8054988835617
190,80.41285707224033
200,74.17825556131879
210,75.58087499938406
220,75.57693529277327
230,84.01213467237719
240,76.62406375257149
250,77.99825751456416
260,84.14472667765574
270,69.2271828734896
280,80.350148476882
290,78.44050947363174
300,82.74502058544988
310,85.39123331631687
320,72.05161978010692
330,73.4563692964141
340,82.60151487681655
350,80.07272463929206
360,76.96474546037042
370,70.80057464931816
380,71.75102299732298
390,75.1687604474315
400,78.54217629347241
410,78.20122001857555
420,81.56018639955772
430,75.94202071408414
440,76.05847976807993
450,69.33198159892538
460,68.57883396313878
470,78.35067085418672
480,81.33089351431428
490,79.07051245410561
500,77.88193429914807
510,79.46330197358088
520,84.1258940912627
530,84.46540397737854
540,76.29494199792435
550,77.9694042450068
560,77.70228088078441
570,73.70825099961243
580,79.2092178154535
590,80.06490198261302
600,74.75709646286474
610,68.90235789988475
620,71.56477242293475
630,76.7299752809744
640,75.75646229333624
650,76.99447990040142
660,73.37471698669665
670,78.4347544145313
680,75.59806624944032
690,85.24019233912985
700,78.70170503216866
710,74.56874949726678
720,87.75552600706533
730,76.9178313744651
740,77.13003486194606
750,73.47139550477492
760,72.75043091692498
770,81.16503412398552
780,72.34744349104895
790,74.73340832584847
800,70.04900483424984
810,80.00654695889001
820,75.6914432239685
830,76.1069910453046
840,74.4439196626237
850,76.9664593926898
860,78.06924431674024
870,85.11288101497557
880,83.25473437830627
890,72.24434232907812
900,84.79783031757732
910,80.92864757691785
920,76.99633538547694
930,76.14139434911782
940,78.58715316845841
950,82.8108949413552
960,77.82918740487939
970,76.94048437428324
980,74.58182611379794
990,88.30821249657022
1000,69.9987339754021
1010,81.23173731345628
1020,73.7838139671899
1030,77.18363748658706
1040,77.61549576826289
1050,74.20166813609659
1060,69.15673974373244
1070,73.54982847812678
1080,82.79895457839363
1090,74.0021003180477
1100,65.79752893145391
1110,75.48437769270785
1120,76.04029809841411
1130,73.11987429981748
1140,80.08994443386268
1150,66.83204889432956
1160,79.84892376908424
1170,73.53001791629964
1180,73.51576800673811
1190,84.70605488342075
1200,74.31956514356166
1210,77.11082607230917
1220,69.4184563392465
1230,83.5529697016629
1240,82.61467759447252
1250,77.14228232939065
1260,68.84205631895253
1270,66.97450498347813
1280,68.17055094346739
1290,75.56987821665327
1300,70.60159932495938
1310,79.46159435526222
1320,81.37241227282378
1330,60.50114743454448
1340,73.47389880639896
1350,75.52726729092728
1360,68.20176496729145
1370,84.23094167794261
1380,76.55715371759932
1390,81.63617128335115
1400,75.10005254432929
1410,79.9968335698378
1420,82.146325136485
1430,77.27959703320904
1440,86.64481794910684
1450,77.16964304413241
