iteration,loss
0,70.64564040287239
100,68.94805631373079
200,63.06965207805298
300,66.64259005482089
400,62.43324773252476
500,62.40943020800835
600,62.88211103328515
700,59.491114559452754
800,58.161407673197864
900,59.89239329419241
1000,60.00988676387654
1100,58.211718208648435
1200,56.92664292774819
1300,57.144698512963046
1400,62.040798309593875
1500,58.060604548473016
1600,55.254100905667194
1700,53.049121966928766
1800,58.74555331265339
1900,58.20256060841356
2000,57.8518554425258
2100,55.17326344518489
2200,58.98966441258438
2300,58.57303975005902
2400,59.0890806589717
2500,59.376630137336875
2600,53.230230729523704
2700,56.13294961703116
2800,55.807681451361525
2900,51.41606330942356
3000,57.29240874190231
3100,60.17675107521659
3200,57.19449407819313
3300,57.416387332319154
3400,55.68093689391423
3500,60.29151133382967
3600,55.2682866406424
3700,58.50096859026203
3800,56.21216278292894
3900,59.85283144267055
4000,47.74556241239459
4100,65.84001531371382
4200,52.88085641945893
4300,68.34398955620286
4400,60.566835089493104
4500,57.12759513218387
4600,58.241192231349565
4700,59.01213707549927
4800,64.32950641210729
4900,58.74790536849793
5000,59.71726627986856
5100,57.92394530489934
5200,60.29162751307038
5300,54.584068947015474
5400,58.853614368745845
5500,61.3241282349545
5600,62.21293704048836
5700,62.13964342046806
5800,63.52568188818295
5900,61.04088596279047
6000,56.57949154332112
6100,55.77173454905901
6200,60.52319482280805
6300,55.87846681571496
6400,60.14362779290161
6500,59.02188001277579
6600,62.52979085462072
6700,56.64032719714652
6800,57.18259728035192
6900,54.13669203617924
7000,58.14867393513182
7100,57.233094052089065
7200,57.51019523718978
7300,57.08809765407865
7400,55.742545622098206
7500,62.48740926399618
7600,56.24376890356747
7700,56.027237553791664
7800,62.03960022484585
7900,57.15393395506887
8000,58.582626923703515
8100,54.90041985388402
8200,50.435093348431984
8300,59.22399793086763
8400,57.438907636997484
8500,60.28775645881891
8600,57.85078576095479
8700,59.32203938043674
8800,55.812564123944945
8900,61.24104648444302
9000,55.77771798921114
9100,55.0340515144614
9200,57.67721949117894
9300,52.1732142521673
9400,59.278732268940004
9500,65.13524394086322
9600,59.33220289696866
9700,59.818931860659376
9800,62.15979079514794
9900,61.97191792702149
10000,50.604618825142815
10100,56.82011138666086
10200,55.88562239778366
10300,61.075625951475395
10400,58.98305006139471
10500,58.64724492727924
10600,56.118432482085154
10700,58.23323713918102
10800,56.78918043713814
10900,56.47577161870074
11000,56.66263905862924
11100,53.091311395791465
11200,59.72528940368528
11300,54.35634940662363
11400,56.454267691502956
11500,60.94924762962186
11600,54.059110443573275
11700,60.10047636788923
11800,54.29018839503186
11900,55.960409767268644
12000,53.92541790462486
12100,58.187454714282545
12200,55.30532694522867
12300,56.01140442058016
12400,51.03100461925889
12500,56.01211261956854
