iteration,loss_total,loss_per_char,learning_rate
0,2597.9462890625,10.14822769165039,1.2e-06
100,2015.12646484375,7.871587753295898,0.00012119999999999999
200,1460.03076171875,5.703245162963867,0.00024119999999999998
300,1335.260009765625,5.215859413146973,0.00036119999999999994
400,1223.998291015625,4.781243324279785,0.0004812
500,1233.0831298828125,4.816730976104736,0.0006
600,1132.32861328125,4.423158645629883,0.0005999353016250794
700,1132.9727783203125,4.425674915313721,0.0005997412348791632
800,1040.47802734375,4.064367294311523,0.0005994178848863401
900,1113.90283203125,4.35118293762207,0.0005989653934786038
1000,1163.40673828125,4.544557571411133,0.0005983839591336405
1100,1062.39990234375,4.149999618530273,0.000597673836887771
1200,1017.8719482421875,3.976062297821045,0.0005968353382240815
1300,1016.364501953125,3.9701738357543945,0.000595868830935799
1400,1051.4803466796875,4.107345104217529,0.0005947747389649632
1500,975.62548828125,3.811037063598633,0.0005935535422164726
1600,999.03271484375,3.9024715423583984,0.0005922057763475822
1700,1055.0892333984375,4.1214423179626465,0.0005907320325329461
1800,958.0005493164062,3.742189645767212,0.0005891329572053091
1900,998.3341064453125,3.899742603302002,0.0005874092517719597
2000,1039.84033203125,4.06187629699707,0.0005855616723070703
2100,974.2501220703125,3.805664539337158,0.0005835910292200569
2200,912.416748046875,3.5641279220581055,0.000581498186900108
2300,921.242431640625,3.5986032485961914,0.0005792840633370341
2400,953.8419189453125,3.725944995880127,0.0005769496297186077
2500,973.0802001953125,3.8010945320129395,0.0005744959100045672
2600,946.8024291992188,3.6984469890594482,0.0005719239804774757
2700,889.7180786132812,3.47546124458313,0.0005692349692706267
2800,962.9522094726562,3.7615320682525635,0.0005664300558732082
2900,940.603759765625,3.6742334365844727,0.0005635104706129397
3000,1006.7500610351562,3.932617425918579,0.0005604774941164094
3100,963.840087890625,3.765000343322754,0.0005573324567473495
3200,905.9102783203125,3.5387120246887207,0.0005540767380230944
3300,888.9415893554688,3.4724280834198,0.0005507117660094793
3400,898.3246459960938,3.509080648422241,0.0005472390166944426
3500,902.9383544921875,3.5271029472351074,0.0005436600133406095
3600,846.3946533203125,3.3062291145324707,0.0005399763258171379
3700,861.3226318359375,3.364541530609131,0.0005361895699111227
3800,949.9049072265625,3.7105660438537598,0.0005323014066188578
3900,898.0330200195312,3.507941484451294,0.0005283135414172681
4000,824.717041015625,3.221550941467285,0.0005242277235158313
4100,802.7156982421875,3.135608196258545,0.0005200457450893163
4200,880.1598510742188,3.438124418258667,0.000515769440491677
4300,861.9249267578125,3.366894245147705,0.0005114006854514427
4400,915.4421997070312,3.575946092605591,0.0005069413962489631
4500,846.608642578125,3.307065010070801,0.0005023935288758631
4600,890.332763671875,3.4778623580932617,0.0004977590781770811
4700,878.1722412109375,3.4303603172302246,0.0004930400769758634
4800,836.04296875,3.2657928466796875,0.0004882385951821015
4900,810.242431640625,3.1650094985961914,0.0004833567388844006
5000,818.3853759765625,3.1968178749084473,0.00047839664942627954
5100,781.584716796875,3.053065299987793,0.00047336050246690736
5200,846.5059814453125,3.306663990020752,0.00046825050702678647
5300,775.0546264648438,3.027557134628296,0.00046306890451880395
5400,844.1983642578125,3.29764986038208,0.0004578179677650734
5500,777.2056274414062,3.035959482192993,0.0004525
5600,777.9603271484375,3.038907527923584,0.00044711733386000596
5700,815.8692016601562,3.1869890689849854,0.00044167233036035924
5800,835.166259765625,3.2623682022094727,0.00043616737785955354
5900,756.9859619140625,2.9569764137268066,0.0004306048910116964
6000,766.7425537109375,2.9950881004333496,0.0004249873097073611
6100,748.4143676757812,2.9234936237335205,0.00041931709800337034
6200,789.3204345703125,3.083282947540283,0.00041359674304198
6300,804.0345458984375,3.1407599449157715,0.00040782875395993544
6400,761.725341796875,2.975489616394043,0.000402015660787882
