iteration,loss
0,117.06035421436364
100,121.82403773946392
200,76.71804712087163
300,89.32509625983087
400,81.71899246931389
500,81.15362677523879
600,67.86655442484516
700,66.10267192061758
800,61.62742020086663
900,71.35493830229862
1000,56.6420148296163
1100,48.20619720024859
1200,64.70451865360042
1300,47.74789381353375
1400,63.42058923708274
1500,62.032921845961205
1600,61.442698903860666
1700,66.88510014091696
1800,53.81347855728847
1900,53.19141881142097
2000,58.47871931914461
2100,50.37938183081204
2200,55.724043789211294
2300,62.118617729371
2400,56.1684113787621
2500,62.01538036598452
2600,66.21832230045588
2700,46.99278378145144
2800,64.57367213423696
2900,58.5763626282473
3000,67.66874796734282
3100,58.897347149287
3200,60.04351388559461
3300,64.87898330748006
3400,48.698352157362514
3500,60.35926165427204
3600,49.77518140554249
3700,50.48355470022894
3800,64.89693294211237
3900,71.23147123452499
4000,34.10316086441779
4100,90.01139978188544
4200,54.55987999398324
4300,98.65294229297605
4400,60.55790051181418
4500,52.319664067113514
4600,68.08095475400614
4700,58.17358906519965
4800,62.318242426745776
4900,67.58008016069398
5000,48.91203153814077
5100,61.48444715968026
5200,48.70929334266459
5300,60.772086503162555
5400,51.0205409872696
5500,58.158382166918734
5600,56.2289467109515
5700,67.16374170490154
5800,48.680237531205144
5900,70.83174266054769
6000,56.68319828176734
6100,62.34017601950271
6200,57.45333387665634
6300,64.72983049581353
6400,49.24814737904243
6500,59.90381734951163
6600,62.949814721881054
6700,60.923463843445944
6800,55.04952537328825
6900,52.56369970025027
7000,61.32377668078034
7100,58.30941640944694
7200,61.73321145501729
7300,56.0551963941413
7400,55.96082960659443
7500,41.61961629066596
7600,55.73505091313744
7700,65.8845899439506
7800,45.28534977277341
7900,52.151915345613055
8000,66.09579998605142
8100,51.034122685978595
8200,43.83678151227114
8300,44.38596911483175
8400,73.60093158275134
8500,53.63119187733049
8600,54.75261939717045
8700,55.371579827012546
8800,49.80787815762321
8900,39.70423007282211
9000,57.789351127958014
9100,58.97765931831027
9200,43.74178658978216
9300,45.13615626207218
9400,51.53321838659271
9500,81.62598535062374
9600,62.49232308751426
9700,49.32267871329065
9800,59.755259540791634
9900,63.215916499336934
10000,48.25714405644237
10100,54.90950339622093
10200,53.32832896568275
10300,54.84469724048449
10400,61.946983297629195
10500,65.49489092584159
10600,53.75462334952107
10700,49.805356032784694
10800,41.09818258644687
10900,44.47563101630105
11000,56.862714014593685
11100,49.64996530155639
11200,54.22629100301023
11300,54.67407804868923
11400,59.251102839597664
11500,48.1329508045654
11600,52.18143791700104
11700,71.13058297649715
11800,45.36959772239531
11900,58.468427244011735
12000,65.59546746565873
12100,68.47646076594043
12200,49.28918644493221
12300,58.733837824411665
12400,52.09751411290196
12500,56.888681528795615
12600,68.97289297525839
12700,48.46277574238833
12800,58.3227123020522
12900,45.69264255007526
13000,70.79763922067085
13100,37.897674645418704
13200,57.019667033435724
13300,62.799749708079005
13400,66.46552259603136
13500,73.95983696579604
13600,47.175819542976214
13700,58.07154911498157
13800,52.36763561345456
13900,49.27425997944141
14000,57.26438730371471
14100,62.458416015305836
14200,53.13572188641981
14300,61.63365893074911
14400,64.551142278999
